Configuracion,Replica,Cajero,Tipo,N_Clientes,N_Retiro,N_Pago,Ws_prom_min,Wq_prom_min,W_prom_min,Utilizacion_pct
A (1R-2P),1,1,retiro,180,180,0,2.5618,52.3859,54.9477,96.07
A (1R-2P),1,2,pago,79,0,79,6.037,94.3749,100.412,99.36
A (1R-2P),1,3,pago,101,0,101,4.9236,86.3484,91.272,103.6
A (1R-2P),2,1,retiro,200,200,0,2.2613,20.3095,22.5708,94.22
A (1R-2P),2,2,pago,78,0,78,6.1699,116.737,122.9069,100.26
A (1R-2P),2,3,pago,100,0,100,4.7324,123.9088,128.6412,98.59
A (1R-2P),3,1,retiro,200,200,0,2.3987,55.8577,58.2564,99.94
A (1R-2P),3,2,pago,88,0,88,5.5104,87.1605,92.6709,101.02
A (1R-2P),3,3,pago,97,0,97,4.9929,101.0867,106.0796,100.9
A (1R-2P),4,1,retiro,208,208,0,2.2807,39.307,41.5877,98.83
A (1R-2P),4,2,pago,73,0,73,6.5071,106.1323,112.6393,98.96
A (1R-2P),4,3,pago,94,0,94,4.9886,68.2714,73.2599,97.69
A (1R-2P),5,1,retiro,182,182,0,2.4788,35.2121,37.6909,93.99
A (1R-2P),5,2,pago,78,0,78,6.119,89.7684,95.8875,99.43
A (1R-2P),5,3,pago,91,0,91,5.3082,66.0254,71.3336,100.63
A (1R-2P),6,1,retiro,193,193,0,2.2475,29.2961,31.5436,90.37
A (1R-2P),6,2,pago,74,0,74,6.5333,141.8454,148.3787,100.72
A (1R-2P),6,3,pago,91,0,91,5.3231,129.3833,134.7064,100.92
A (1R-2P),7,1,retiro,193,193,0,2.5009,52.3653,54.8661,100.56
A (1R-2P),7,2,pago,66,0,66,7.2881,114.4458,121.7339,100.21
A (1R-2P),7,3,pago,94,0,94,5.1356,99.6267,104.7624,100.57
A (1R-2P),8,1,retiro,223,223,0,2.1343,33.3561,35.4904,99.15
A (1R-2P),8,2,pago,77,0,77,6.0373,112.8939,118.9312,96.85
A (1R-2P),8,3,pago,91,0,91,4.7961,54.1517,58.9478,90.93
A (1R-2P),9,1,retiro,164,164,0,2.9114,85.1788,88.0903,99.47
A (1R-2P),9,2,pago,76,0,76,6.3113,184.2426,190.554,99.93
A (1R-2P),9,3,pago,84,0,84,5.7166,122.4571,128.1738,100.04
A (1R-2P),10,1,retiro,219,219,0,2.0279,16.651,18.6789,92.52
A (1R-2P),10,2,pago,94,0,94,5.1025,136.0899,141.1924,99.92
A (1R-2P),10,3,pago,96,0,96,4.9579,91.8358,96.7937,99.16
B (2R-1P),1,1,retiro,180,180,0,2.5618,52.3859,54.9477,96.07
B (2R-1P),1,2,retiro,196,196,0,2.359,56.092,58.451,96.33
B (2R-1P),1,3,pago,82,0,82,5.8553,161.541,167.3963,100.03
B (2R-1P),2,1,retiro,200,200,0,2.2613,20.3095,22.5708,94.22
B (2R-1P),2,2,retiro,179,179,0,2.6267,54.7624,57.3891,97.95
B (2R-1P),2,3,pago,87,0,87,5.578,111.0937,116.6717,101.1
B (2R-1P),3,1,retiro,200,200,0,2.3987,55.8577,58.2564,99.94
B (2R-1P),3,2,retiro,199,199,0,2.3815,27.9847,30.3663,98.73
B (2R-1P),3,3,pago,90,0,90,5.3091,67.87,73.1791,99.55
B (2R-1P),4,1,retiro,208,208,0,2.2807,39.307,41.5877,98.83
B (2R-1P),4,2,retiro,177,177,0,2.6878,55.5247,58.2125,99.11
B (2R-1P),4,3,pago,112,0,112,4.3053,96.5443,100.8497,100.46
B (2R-1P),5,1,retiro,182,182,0,2.4788,35.2121,37.6909,93.99
B (2R-1P),5,2,retiro,182,182,0,2.5637,45.7635,48.3272,97.21
B (2R-1P),5,3,pago,83,0,83,5.85,132.4257,138.2757,101.16
B (2R-1P),6,1,retiro,193,193,0,2.2475,29.2961,31.5436,90.37
B (2R-1P),6,2,retiro,163,163,0,2.9432,79.8324,82.7757,99.95
B (2R-1P),6,3,pago,92,0,92,4.9682,78.5823,83.5505,95.22
B (2R-1P),7,1,retiro,193,193,0,2.5009,52.3653,54.8661,100.56
B (2R-1P),7,2,retiro,190,190,0,2.4917,61.9899,64.4815,98.63
B (2R-1P),7,3,pago,80,0,80,6.115,114.9482,121.0633,101.92
B (2R-1P),8,1,retiro,223,223,0,2.1343,33.3561,35.4904,99.15
B (2R-1P),8,2,retiro,181,181,0,2.3891,25.9184,28.3075,90.09
B (2R-1P),8,3,pago,104,0,104,4.605,90.0834,94.6885,99.78
B (2R-1P),9,1,retiro,164,164,0,2.9114,85.1788,88.0903,99.47
B (2R-1P),9,2,retiro,184,184,0,2.6237,72.1794,74.8031,100.57
B (2R-1P),9,3,pago,89,0,89,5.2744,124.823,130.0973,97.8
B (2R-1P),10,1,retiro,219,219,0,2.0279,16.651,18.6789,92.52
B (2R-1P),10,2,retiro,207,207,0,2.2997,60.7675,63.0671,99.17
B (2R-1P),10,3,pago,96,0,96,4.9508,104.8916,109.8424,99.02
